Percentage, Train, Learning, Momentum, Batch, Hidden, Centered, Normalized
0.17543103448275857, 0.769365454288418, 2e-09, 0.8227224764741106, 53, 236, 0, 0
0.9230769230769239, 0.7926628738211217, 0.30000000000000004, 0.6004289350858936, 107, 274, 1, 1
0.09374999999999988, 0.7452073222768943, 0.6000000000000001, 0.6468471355649594, 83, 119, 0, 0
0.9027600849256908, 0.6868488224827811, 0.001, 0.438629753343976, 225, 270, 1, 0
0.9314814814814826, 0.7128620382034438, 0.0007, 0.7727002938768519, 61, 76, 1, 0
0.3989203778677466, 0.507517994509679, 2e-07, 0.7846757900959291, 195, 106, 1, 0
0.862585034013606, 0.7068171504505179, 5e-05, 0.40401939641366225, 147, 74, 0, 0
0.2963235294117646, 0.7280260409381734, 6.000000000000001e-08, 0.6362220658806588, 105, 315, 1, 0
0.13623188405797093, 0.8635578611993617, 8e-10, 0.7741017873709524, 207, 244, 1, 0
0.15808966861598434, 0.8862181395062723, 3e-06, 0.38090046049842863, 120, 232, 1, 1
0.9191780821917825, 0.5627317000127366, 0.02, 0.6974828017020396, 255, 311, 0, 1
0.8861224489795935, 0.5106396359500811, 0.0006000000000000001, 0.5625686291578862, 244, 260, 0, 0
0.89425287356322, 0.653825190409608, 0.0002, 0.7751661548751482, 103, 326, 0, 1
0.5398305084745763, 0.7657112850437451, 8e-06, 0.4421317204171267, 25, 155, 1, 1
0.09236111111111103, 0.7131447134228219, 1e-09, 0.4099605437629676, 24, 107, 0, 0
0.9272727272727272, 0.8246814943165977, 0.006, 0.6433604442912719, 113, 92, 1, 0
0.09340101522842635, 0.6071790451377099, 0.8, 0.8713447506333134, 112, 54, 0, 1
0.9287234042553203, 0.6252451691756773, 0.0002, 0.8940747864010088, 36, 297, 1, 1
0.11550387596899213, 0.7432216036955062, 2e-10, 0.5729518060308992, 204, 231, 1, 1
0.4170212765957446, 0.6240266991012261, 3.0000000000000004e-05, 0.3282196629989971, 137, 192, 0, 1
0.9401515151515153, 0.7376676688274445, 0.06, 0.8030023485190714, 83, 188, 1, 1
0.21111111111111133, 0.5876804986358697, 0.01, 0.6913075869559349, 119, 227, 0, 0
0.20532724505327252, 0.5628975501437287, 6e-06, 0.8338369290522327, 233, 264, 0, 1
0.060869565217391244, 0.5877297067465707, 9.000000000000001e-09, 0.5641537816487955, 145, 57, 0, 1
0.09499999999999993, 0.600605541088971, 0.6000000000000001, 0.3010100320186787, 29, 150, 0, 0
0.8199004975124384, 0.5981683302837972, 7e-06, 0.6119772564555368, 175, 166, 0, 0
0.0551724137931034, 0.7118920599873946, 6e-10, 0.8326731009694304, 64, 87, 0, 0
0.9297872340425533, 0.8121433162199684, 0.002, 0.7103841129880228, 193, 347, 0, 0
0.0990243902439024, 0.591111798474599, 9e-10, 0.5064364564104249, 101, 125, 0, 1
0.9397727272727286, 0.6498038221845962, 0.004, 0.8706809273605784, 86, 221, 1, 1
0.12226890756302507, 0.7624030670879944, 4.9999999999999996e-06, 0.45851511686415786, 218, 225, 1, 1
0.9152941176470598, 0.6607337287036474, 0.00030000000000000003, 0.8330777615722436, 72, 80, 0, 1
0.9299145299145295, 0.8449642778806329, 0.008, 0.5724118791990953, 223, 211, 0, 1
0.12384576357179103, 0.5623345120878294, 3e-07, 0.4517933270101654, 25, 342, 0, 1
0.8087837837837835, 0.8533312666518209, 8e-07, 0.597778709632015, 47, 184, 1, 0
0.09999999999999994, 0.6415651578181324, 0.7000000000000001, 0.5042340359647364, 155, 112, 1, 0
0.40339105339105336, 0.6923703784097424, 2e-05, 0.7529719721276478, 208, 86, 1, 1
0.09191176470588236, 0.865390540220002, 0.6000000000000001, 0.33155598769468075, 105, 158, 1, 0
0.10584795321637423, 0.659911002820287, 3e-10, 0.5333252831525077, 65, 226, 0, 1
0.09833333333333323, 0.7619675746430568, 8e-10, 0.814639655696622, 83, 285, 0, 0
0.9078947368421045, 0.8481325645242824, 0.001, 0.5284100995858886, 94, 193, 0, 1
0.10829694323144104, 0.5436359167656941, 5e-09, 0.8798829915446595, 93, 67, 0, 0
0.17288135593220366, 0.5296952388426205, 3.0000000000000004e-08, 0.8841641128314353, 175, 320, 1, 1
0.9280821917808227, 0.7083197686503117, 0.0008, 0.5598100022617778, 115, 242, 0, 0
0.908471074380167, 0.5164989817932064, 0.006, 0.49196986681584465, 116, 234, 0, 1
0.10288461538461534, 0.5841321956568762, 0.9, 0.6829536365530458, 129, 69, 1, 0
0.9359032501889653, 0.7063648607881345, 0.0006000000000000001, 0.5648893239754141, 24, 326, 1, 0
0.935883424408014, 0.8783703592170753, 0.30000000000000004, 0.6153423996604889, 91, 217, 1, 1
0.9470000000000003, 0.8007338253075398, 0.1, 0.7515272142356686, 28, 160, 0, 1
0.13140495867768584, 0.759342789950928, 6e-07, 0.8705830904327321, 125, 197, 1, 1
0.07386363636363634, 0.8256903899423989, 3.0000000000000004e-09, 0.388609911636615, 246, 320, 1, 0
0.08627450980392147, 0.6943614354657051, 0.08, 0.3558284416809213, 40, 171, 0, 0
0.9325966850828741, 0.6388030690771804, 0.03, 0.8630409025632813, 163, 116, 0, 1
0.08244274809160297, 0.7397799308954389, 2e-10, 0.6805700211249255, 236, 179, 1, 0
0.14777327935222692, 0.5071015449929457, 4.9999999999999996e-06, 0.8490453738460333, 174, 132, 1, 1
0.48278688524590163, 0.7575682220284008, 3e-06, 0.6863283123881097, 18, 97, 1, 1
0.9276923076923071, 0.8718113333879012, 0.0007, 0.6970635635406512, 100, 138, 0, 0
0.10211912943871701, 0.612267835800273, 7e-07, 0.31779679786107407, 188, 169, 1, 1
0.11515151515151505, 0.8037485566251321, 6.000000000000001e-08, 0.45826933097917943, 75, 285, 1, 1
0.10298507462686564, 0.59997130443632, 4e-07, 0.6007445629040578, 74, 341, 0, 1
0.958064516129032, 0.8768518172847125, 0.06, 0.5372809918549417, 70, 273, 1, 1
0.09664804469273733, 0.6438280095489652, 2e-06, 0.36012328170157915, 163, 190, 1, 1
0.10073529411764694, 0.7285334049955877, 8e-10, 0.45714531128708125, 168, 198, 0, 0
0.11666666666666659, 0.7977559720607872, 9e-07, 0.7161089991318532, 167, 348, 1, 1
0.18918918918918923, 0.7798799990179583, 1e-08, 0.5850454099144649, 42, 186, 0, 0
0.1102880658436215, 0.5155519445707775, 4e-10, 0.4466756343502807, 109, 219, 0, 1
0.09054726368159202, 0.5986609114247015, 0.09, 0.4982509708312812, 181, 151, 0, 0
0.8695945945945956, 0.7056936748745869, 8e-05, 0.3893801559992315, 120, 82, 1, 0
0.1411042944785276, 0.6759271336822258, 4e-06, 0.5239374401953034, 155, 313, 1, 1
0.5, 0.7871865398427915, 3e-07, 0.38837371746048455, 76, 79, 1, 0
0.14623655913978484, 0.8154909358558642, 8e-08, 0.5845975665873387, 171, 125, 1, 1
0.11746031746031732, 0.7483554351479493, 6.000000000000001e-09, 0.7175651409804091, 248, 115, 0, 1
0.10177514792899402, 0.6629546713094409, 0.9, 0.6803422030313255, 82, 159, 1, 1
0.8245098039215688, 0.7972756464495176, 7e-07, 0.8789018176306118, 93, 164, 1, 0
0.0906403940886699, 0.5952457048562276, 2e-10, 0.8589907934320238, 242, 101, 0, 0
0.054945054945054944, 0.8182772520397067, 9e-08, 0.3929913499423766, 177, 161, 1, 1
0.8890410958904105, 0.8557754285108787, 0.0008, 0.5965228229389692, 145, 304, 0, 1
0.09829545454545437, 0.649768090104483, 0.04, 0.3886979681996822, 165, 102, 1, 0
0.28909090909090923, 0.7817442263699259, 6e-06, 0.3468911649060633, 61, 209, 0, 1
0.09852941176470587, 0.8640161795299419, 5e-09, 0.41405576703881625, 177, 279, 0, 0
0.9050200803212872, 0.5032466925288924, 0.0006000000000000001, 0.7432080766584691, 140, 341, 1, 1
0.09693788276465432, 0.7462700116124672, 0.1, 0.8423495627117623, 198, 251, 0, 0
0.10031055900621108, 0.6792996231462869, 7e-07, 0.5949264606688682, 190, 187, 1, 1
0.09702702702702695, 0.6313086024522778, 1e-09, 0.8275640009471104, 141, 255, 0, 1
0.09893617021276586, 0.6246888296743863, 0.04, 0.30459068895058355, 45, 129, 0, 0
0.6634382566585955, 0.6466015743338875, 3.0000000000000004e-05, 0.5783457781564851, 60, 86, 1, 1
0.927272727272728, 0.7151802532493747, 0.001, 0.7289855495096541, 125, 239, 0, 0
0.9538461538461538, 0.8713068552281114, 0.0006000000000000001, 0.886830006889169, 231, 140, 0, 0
0.1644736842105263, 0.697191860742002, 1e-10, 0.7049622679893286, 180, 275, 1, 1
0.9432914046121598, 0.7883138390035784, 0.006, 0.6850597401199212, 239, 298, 1, 0
0.11136363636363632, 0.8242878508810509, 5e-07, 0.6719443540549388, 240, 113, 0, 1
0.9200000000000012, 0.7006831537339269, 0.007, 0.8427859625202774, 198, 250, 1, 1
0.08055555555555545, 0.7138792447220068, 9e-07, 0.4232767262120545, 83, 307, 1, 1
0.10791366906474806, 0.722001064046835, 0.07, 0.4113441639686684, 49, 231, 1, 0
0.10622710622710618, 0.8189757283357564, 8e-07, 0.43222431067398126, 201, 179, 1, 1
0.10924369747899147, 0.7633401889302098, 2e-08, 0.45032301520981344, 181, 76, 0, 1
0.40055555555555544, 0.6414505481991176, 6.000000000000001e-08, 0.7783490535859658, 123, 345, 0, 0
0.8614525139664817, 0.6437788489742546, 6e-06, 0.6954580995348563, 40, 310, 0, 0
0.23203883495145633, 0.7950325178685056, 0.9, 0.8031547856193373, 196, 316, 0, 1
0.8923497267759576, 0.635755888454517, 9e-05, 0.6294444458681492, 142, 130, 0, 0
0.9236714975845424, 0.5865633851355277, 0.9, 0.30822647527360963, 229, 244, 0, 1
0.057709251101321496, 0.5474860396915793, 7e-07, 0.419745693431434, 149, 268, 0, 1
0.10169491525423724, 0.8825294433993909, 0.9, 0.8561578155329264, 69, 181, 0, 1
0.19512195121951217, 0.7540675857054008, 0.01, 0.6974690054011172, 97, 179, 0, 0
0.8654545454545464, 0.6719255285438505, 8e-05, 0.8281206886363892, 99, 240, 0, 1
0.0963675213675214, 0.5332682833003816, 0.8, 0.4433418674441365, 39, 219, 0, 0
0.09337349397590351, 0.66903605999256, 0.2, 0.47503671196529984, 21, 207, 0, 0
0.09249999999999994, 0.8407178180273719, 1e-07, 0.5549895591007945, 49, 150, 1, 1
0.13673469387755108, 0.7079583754041399, 3e-06, 0.42580431607462, 145, 188, 0, 1
0.9054347826086954, 0.8164822853074507, 6.000000000000001e-05, 0.5040735889901049, 153, 342, 1, 0
0.08211009174311917, 0.5658759890588883, 8e-10, 0.8096001505471511, 52, 322, 0, 1
0.9330708661417328, 0.7476105640986531, 0.003, 0.47367698254481205, 66, 349, 0, 0
0.8519396551724154, 0.5373951965315233, 4e-05, 0.49338480213853, 167, 269, 1, 0
0.7143999999999998, 0.7516014022865742, 7.000000000000001e-05, 0.5596932596841686, 206, 305, 1, 1
0.11991341991341997, 0.5393638519090134, 3.0000000000000004e-09, 0.5973659454686866, 119, 82, 1, 0
0.08658536585365852, 0.8376903652469059, 0.05, 0.6927259963191947, 62, 84, 0, 0
0.12994579945799478, 0.5089526021607571, 7.000000000000001e-10, 0.46087134148987297, 133, 91, 1, 1
0.8518037518037516, 0.8463473571881619, 7.000000000000001e-05, 0.38323415477694006, 43, 90, 0, 1
0.839240506329115, 0.5276696809854976, 9e-06, 0.44342256220192416, 121, 336, 0, 0
0.06307692307692299, 0.6113860535871565, 9e-10, 0.5461734053187016, 17, 77, 0, 0
0.7061181434599153, 0.5265902391355644, 8e-07, 0.45334699070356244, 90, 275, 0, 0
0.759523809523809, 0.8333481742513056, 8e-05, 0.5918637955102446, 193, 134, 0, 1
0.9022900763358782, 0.7392251590290235, 0.0009000000000000001, 0.5716123881697948, 237, 291, 0, 1
0.10691964285714273, 0.7447093493160799, 2e-09, 0.3937294093971215, 41, 155, 1, 0
0.09384259259259262, 0.5203198788655514, 0.05, 0.4918023883746111, 167, 127, 0, 0
0.9305285868392678, 0.5882770764533424, 0.0008, 0.8580908389863846, 223, 283, 0, 0
0.10808080808080804, 0.8683019901939291, 0.30000000000000004, 0.8060142998199848, 143, 207, 1, 0
0.10212765957446815, 0.5316212735926117, 0.8, 0.8599185347241818, 213, 255, 1, 1
0.8736024844720497, 0.7246343233768918, 0.0005, 0.47079488454480345, 195, 324, 0, 1
0.9282608695652175, 0.8174673930792988, 0.006, 0.5148463656906489, 100, 264, 0, 0
0.10794392523364496, 0.5723186967066733, 4e-09, 0.48263531377115343, 184, 149, 0, 1
0.09598930481283414, 0.6265828475974945, 0.1, 0.8441323521396698, 191, 119, 0, 0
0.088653483992467, 0.528301743644199, 0.7000000000000001, 0.44147123163507174, 202, 270, 0, 0
0.8803656059580243, 0.5786874784875042, 0.0002, 0.7882869079718576, 234, 110, 1, 0
0.8824267782426802, 0.5221306682172935, 8e-05, 0.7308214213936718, 97, 170, 1, 0
0.8884615384615387, 0.7938767991595869, 7e-06, 0.7312069606400745, 53, 202, 0, 0
0.14342105263157887, 0.84916532147074, 8e-09, 0.6904361577730129, 57, 79, 0, 0
0.08636363636363636, 0.8258014369261015, 2e-10, 0.3568372270432058, 233, 51, 1, 1
0.07975460122699378, 0.6747418148948278, 8e-10, 0.6586906015810794, 53, 159, 0, 0
0.36015151515151494, 0.561514237981388, 2e-05, 0.33275930639124734, 91, 205, 0, 1
0.09833333333333343, 0.5205971694384584, 0.008, 0.8841964066532157, 85, 157, 1, 0
0.9398550724637686, 0.724765416844157, 0.6000000000000001, 0.4632152932541399, 184, 138, 1, 1
0.9041284403669743, 0.5640028518751674, 0.004, 0.5001384501555671, 199, 96, 1, 0
0.90277777777778, 0.5694266741223972, 0.0002, 0.8453514397917465, 207, 131, 0, 0
0.8608391608391613, 0.715215632140953, 1e-05, 0.530981425804565, 134, 121, 1, 0
0.12157894736842124, 0.6210612755682349, 3e-06, 0.42480938909189814, 73, 194, 0, 1
0.10321285140562261, 0.5031281120086286, 0.007, 0.3352201165601337, 26, 50, 1, 0
0.9094766619519109, 0.5967487541977189, 0.0009000000000000001, 0.7393819536605841, 102, 80, 1, 0
0.07608695652173907, 0.7247591548895085, 8e-10, 0.7541119860786296, 183, 296, 1, 1
0.945454545454546, 0.7811389727806626, 0.5, 0.42629914242801836, 224, 242, 1, 1
0.09599999999999993, 0.8515807723829882, 1e-10, 0.4320868383773805, 115, 316, 1, 1
0.9317647058823528, 0.8315858908835078, 0.007, 0.6459046117711466, 131, 220, 1, 1
0.9377118644067798, 0.7652878619611702, 0.008, 0.8222233693623431, 20, 250, 1, 1
0.8630903790087477, 0.5106375032610352, 7.000000000000001e-05, 0.3069029723954842, 152, 175, 1, 0
0.09485407066052215, 0.6286574804632694, 0.6000000000000001, 0.8562243228715456, 148, 346, 1, 0
0.0542857142857142, 0.581617489129916, 1e-10, 0.5557830997511864, 205, 255, 0, 0
0.08164556962025307, 0.6841372479753022, 5e-09, 0.8863026927021405, 63, 188, 0, 1
0.10604651162790703, 0.5700723157746153, 0.4, 0.3247241403192208, 48, 191, 1, 0
0.09249999999999994, 0.8409701437113142, 0.30000000000000004, 0.8812491756671963, 45, 278, 0, 0
0.8892857142857143, 0.7201686574315925, 5e-05, 0.7744912350811441, 177, 119, 1, 0
0.9341130604288503, 0.772358626491495, 0.06, 0.44643737079383505, 152, 329, 1, 1
0.09199999999999996, 0.8518380924236812, 0.4, 0.36415843923744207, 35, 235, 1, 0
0.08670520231213863, 0.655083796053662, 0.09, 0.31233384458347735, 142, 268, 0, 0
0.9100591715976342, 0.6637032568728547, 0.0007, 0.8922883070713419, 185, 342, 1, 1
0.1276923076923076, 0.740237358110537, 4e-09, 0.3770931523038671, 236, 283, 1, 1
0.10406504065040639, 0.7556369637649335, 0.4, 0.5160958357739887, 180, 195, 1, 0
0.0896447467876038, 0.6226209239214723, 4e-10, 0.81087694419934, 237, 100, 0, 1
0.8457446808510637, 0.8136903847593053, 9e-05, 0.49758098245597154, 59, 320, 1, 1
0.17710843373493998, 0.5029209790428169, 0.4, 0.801261319296986, 29, 200, 0, 1
0.09518072289156614, 0.6681935096792457, 0.5, 0.39322936618621085, 181, 305, 0, 0
0.13846153846153836, 0.8450701837776053, 4e-10, 0.8691698253406166, 22, 162, 1, 0
0.08860759493670882, 0.8427310922597863, 0.4, 0.3867909248530302, 38, 340, 1, 0
0.8820512820512815, 0.8451619461432271, 0.009000000000000001, 0.4518844252632197, 164, 108, 0, 0
0.17048192771084344, 0.6681678204412008, 5e-09, 0.3678042058134352, 253, 314, 0, 0
0.0771341463414634, 0.8365426275774002, 2e-07, 0.4540397515162494, 62, 261, 0, 1
0.10774193548387084, 0.6917170969911267, 4e-08, 0.6556862960935552, 173, 270, 0, 1
0.08421052631578943, 0.7739141083516627, 0.09, 0.7153917024133547, 137, 346, 0, 0
0.9325102880658453, 0.5144537998449904, 0.6000000000000001, 0.53303671704364, 194, 156, 0, 1
0.9083870967741947, 0.6919287921427772, 0.08, 0.6296694030195655, 143, 81, 0, 1
0.09078947368421057, 0.5458960801753601, 0.08, 0.8929327243913678, 194, 78, 0, 0
0.06540880503144644, 0.6829292836724732, 4e-10, 0.6315390030142765, 242, 160, 1, 0
0.07660550458715586, 0.5658621476886753, 7.000000000000001e-10, 0.896321965523087, 102, 346, 0, 0
0.13304347826086946, 0.7709287232262247, 9e-07, 0.3939804601274368, 87, 59, 1, 1
0.9154589371980689, 0.587004305254627, 0.02, 0.6074810619547695, 157, 106, 0, 1
0.10217391304347823, 0.6321951253969568, 3.0000000000000004e-09, 0.8079602251097695, 89, 275, 0, 0
0.20447761194029862, 0.7330393975120231, 1e-07, 0.4246964063780295, 178, 245, 0, 0
